trial,variable,effectSize,ratio,alpha,ssStatus,ssAlert,testStores,numTeststores,metric,startDate,endDate,numWeeks,hierarchy,numCategories,numProducts,numProductSelected,extraFeatureShape,extraFeatureFiltered,dataInsufficient,multiCorr,corr,extraDuplicateCols,modelData.shape,features,gain,pvalues,rSquared,rSquaredAdj,mape,mdape,analyseFeatureStatus,afAlert,selectedFeatures,storesWithSettings,numStoresWithSettings,nControls,excludeControls,excludeControls.len,identifyControlStatus,icAlert,prePeriod,postPeriod,metrics,pValue,delta,liftAnalysisStatus,laAlert
trial_8,,,,,,,"['59', '117', '564', '569', '634', '663', '664', '694', '728', '735', '773', '790', '812', '891', '894']",15.0,1.0,2019-02-08 00:00:00,2019-12-21 00:00:00,45.0,"{'lvl': '2', 'categories': ['category 12']}",1.0,20.0,20.0,,,,,,,"[15, 114]","[['Birthplace'], ['Birthplace_country_5'], ['Age_Group1'], ['Income_median_5km'], ['Income_median_3km'], ['Age_Group6'], ['Age_Group7']]","[[0.2777], [0.1928], [0.1425], [0.129], [0.1221], [0.0451], [0.0219]]",,0.9999995743197748,0.99999914863955,0.008506914792593771,0.006952144959575666,Success,,"['Birthplace', 'Birthplace_country_5', 'Age_Group1', 'Income_median_5km', 'Income_median_3km', 'Age_Group6', 'Age_Group7']",[],0.0,2.0,,0.0,Success,,"{'startDate': '2019-3-8', 'endDate': '2019-5-8'}","{'startDate': '2019-8-16', 'endDate': '2019-12-27'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.4578902595189487 0.9375646797964017 0.10280159959607788],[182.9871558272923 -8.14457526058298 -279.24974426342175],Success,
abcdefg,Net Sales,10.0,2.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_9,,,,,,,"['4', '6', '10', '18', '24', '34', '37', '40', '42', '55', '57', '59', '60', '67', '80', '81', '82', '85', '44']",19.0,2.0,2018-01-07 00:00:00,2019-01-06 00:00:00,53.0,"{'lvl': '2', 'categories': ['category 1', 'category 10', 'category 11', 'category 12']}",4.0,80.0,80.0,,,,,,,"[19, 100]","[['percentage_visits_age_group_5'], ['category 9 Net Sales'], ['percentage_visits_age_group_3'], ['Age_Group6'], ['percentage_visits_age_group_4'], ['item 420 Net Sales'], ['Age_Group7']]","[[0.2505], [0.2023], [0.1354], [0.1207], [0.0715], [0.0504], [0.0272]]",,0.9999996363196748,0.9999994048867408,0.005643130727018175,0.004369353294113921,Success,,"['percentage_visits_age_group_5', 'category 9 Net Sales', 'percentage_visits_age_group_3', 'Age_Group6', 'percentage_visits_age_group_4', 'item 420 Net Sales', 'Age_Group7']",[],0.0,2.0,,0.0,Success,,"{'startDate': '2019-1-13', 'endDate': '2019-2-24'}","{'startDate': '2019-7-7', 'endDate': '2019-9-15'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.4729160427279233 0.46881728956041335 0.22823822627995694],[70.86221695899233 -117.93519439125136 265.17908607093875],Success,
kdjakd,Net Sales,10.0,2.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfdsdgf,Gross Sales,10.0,2.0,4.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akdslfa,Net Sales,10.0,2.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_11,,,,,,,"['4', '6', '10', '18', '24', '34', '37', '40', '42', '3', '60', '67', '80', '81', '82', '85', '44', '55', '57', '59']",20.0,2.0,2018-04-08 00:00:00,2019-04-14 00:00:00,54.0,"{'lvl': '2', 'categories': ['category 11', 'category 1']}",2.0,40.0,40.0,,,,,,,,,,,,,,,local variable 'rSquared' referenced before assignment,"[1223, 'teststore.py']",,,,,,,,,,,,,,,
qwqeqw,Net Sales,10.0,2.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wqewqewqeq,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wqrwtery,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iretiertj,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sdsfsfsfsd,Net Sales,10.0,2.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weeewtre,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jasdldjks,Net Sales,10.0,2.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsfsdfsdf,Gross Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_13,,,,,,,"['42', '24', '106', '117', '119', '124', '105', '100', '110']",9.0,1.0,2019-02-06 00:00:00,2019-12-20 00:00:00,45.0,"{'lvl': '2', 'categories': ['category 2']}",1.0,20.0,20.0,,,,,,,,,,,,,,,local variable 'rSquared' referenced before assignment,"[1223, 'teststore.py']",,,,,,,,,,,,,,,
wqeqeqwe,Net Sales,10.0,2.0,2.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_14,,,,,,,"['44', '143', '181', '193', '194', '217', '303', '225', '338', '637', '641', '679', '687', '715', '756']",15.0,2.0,2018-09-26 00:00:00,2019-03-06 00:00:00,23.0,"{'lvl': '2', 'categories': ['category 12', 'category 1']}",2.0,40.0,40.0,,,,,,,,,,,,,,,local variable 'rSquared' referenced before assignment,"[1223, 'teststore.py']",,,,,,,,,,,,,,,
trial_10,,,,,,,"['3', '4', '6', '10', '18', '24', '34', '37', '40', '42', '44', '55', '57', '59', '60', '67', '80', '81', '82', '85']",20.0,1.0,2018-07-21 00:00:00,2019-06-28 00:00:00,49.0,"{'lvl': '2', 'categories': ['category 2']}",1.0,20.0,20.0,,,,,,,,,,,,,,,"""['store_type'] not found in axis""","[312, 'helpers.py']",,,,,,,,,,,,,,,
qweqwe,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajddlk,Net Sales,10.0,2.0,3.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahaksdld,Net Sales,10.0,2.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_16,,,,,,,"['57', '59', '60', '67', '80', '81', '82', '85', '44', '55', '95', '100', '105', '106', '110', '117', '119', '124', '127', '128', '143', '155', '160', '169']",24.0,2.0,2018-02-04 00:00:00,2019-02-10 00:00:00,54.0,"{'lvl': '2', 'categories': ['category 1', 'category 10']}",2.0,40.0,40.0,,,,,,,,,,,,,,,"""['store_type'] not found in axis""","[312, 'helpers.py']",,,,,,,,,,,,,,,
demo1222,Net Sales,10.0,1.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial_17,,,,,,,"['362', '368', '403', '423', '449', '465', '473', '477', '483', '493', '559', '618', '656', '678', '689', '708', '731', '802', '813', '832', '853', '865', '867', '890', '936']",25.0,2.0,2019-02-08 00:00:00,2019-12-20 00:00:00,45.0,"{'lvl': '2', 'categories': ['category 2']}",1.0,20.0,20.0,,,,,,,,,,,,,,,"""['store_type'] not found in axis""","[312, 'helpers.py']",,,,,,,,,,,,,,,
trial_12,,,,,,,"['3', '4', '6', '10', '18', '24', '34', '37', '40', '42']",10.0,2.0,2019-02-06 00:00:00,2019-12-19 00:00:00,45.0,"{'lvl': '2', 'categories': ['category 2']}",1.0,20.0,20.0,,,,,,,"[10, 111]","[['Home ownership rent percentage'], ['Birthplace country 4 percentage'], ['Language 2 speaking percentage'], ['Birthplace country 2 percentage'], ['item 718 Net Sales'], ['Birthplace country 1 percentage'], ['Birthplace country 7 percentage']]","[[0.6206], [0.1316], [0.1102], [0.0856], [0.0252], [0.0088], [0.0062]]",,0.9999996786582483,0.999998553962118,0.01302398021187525,0.006612901011067042,Success,,"['Home ownership rent percentage', 'Birthplace country 4 percentage', 'Language 2 speaking percentage', 'Birthplace country 2 percentage', 'item 718 Net Sales', 'Birthplace country 1 percentage', 'Birthplace country 7 percentage']",[],0.0,3.0,,0.0,Success,,"{'startDate': '2019-2-7', 'endDate': '2019-4-17'}","{'startDate': '2019-9-4', 'endDate': '2019-12-19'}","[['Guest Count', 'Gross Sales', 'Net Sales']]",[0.9618441716028857 0.8425456058681055 0.3304480970336754],[4.197020950293734 -38.400782135493124 -237.42997513133164],Success,
10sdfsdjf,Net Sales,10.0,2.0,1.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfsksdf,Net Sales,10.0,2.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kdsjfdslk,Net Sales,10.0,2.0,5.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
